date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:32:11	121805/121805	---MCZ	200	added ('OK')	application/javascript	etag:W/%226080bdd8-1dbcd%22	https://cdn.mypanel.link/30e6b5/xera7mphqthrmtyq.js	D:/rovaid/websites/majid/https___sochillpanel.com_/cdn.mypanel.link/30e6b5/xera7mphqthrmtyq.js	(from https://sochillpanel.com/)
00:32:11	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	D:/rovaid/websites/majid/https___sochillpanel.com_/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://sochillpanel.com/)
00:32:13	21257/21257	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-5309%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.16.0/umd/popper.min.js	D:/rovaid/websites/majid/https___sochillpanel.com_/cdnjs.cloudflare.com/ajax/libs/popper.js/1.16.0/umd/popper.min.js	(from https://sochillpanel.com/)
00:32:13	39680/39680	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:00%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.4.1/js/bootstrap.min.js	D:/rovaid/websites/majid/https___sochillpanel.com_/maxcdn.bootstrapcdn.com/bootstrap/3.4.1/js/bootstrap.min.js	(from https://sochillpanel.com/)
00:32:14	38510/38510	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03d8e-966e%22	https://cdnjs.cloudflare.com/ajax/libs/bootstrap-datetimepicker/4.17.47/js/bootstrap-datetimepicker.min.js	D:/rovaid/websites/majid/https___sochillpanel.com_/cdnjs.cloudflare.com/ajax/libs/bootstrap-datetimepicker/4.17.47/js/bootstrap-datetimepicker.min.js	(from https://sochillpanel.com/)
00:32:16	10676/10676	---M-Z	200	added ('OK')	application/javascript	etag:%226049431e-29b4%22	https://cdnjs.cloudflare.com/ajax/libs/clipboard.js/2.0.8/clipboard.min.js	D:/rovaid/websites/majid/https___sochillpanel.com_/cdnjs.cloudflare.com/ajax/libs/clipboard.js/2.0.8/clipboard.min.js	(from https://sochillpanel.com/)
00:32:17	41975/41975	---M--	200	added ('OK')	image/png	etag:%226069fc8e-a3f7%22	https://cdn.mypanel.link/30e6b5/aqofnjxur70p6k5r.png	D:/rovaid/websites/majid/https___sochillpanel.com_/cdn.mypanel.link/30e6b5/aqofnjxur70p6k5r.png	(from https://adoring-hodgkin-378c87.netlify.app/external.css)
00:32:19	4178/4178	---M--	200	added ('OK')	image/gif	etag:W/%221052-ehqkNhQ5Y4K7FeX95XTZzc0haY8%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/ajax-loader.gif	D:/rovaid/websites/majid/https___sochillpanel.com_/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/ajax-loader.gif	(from https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick-theme.css)
00:32:19	2048/2048	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22800-Lf8HaPTApTIodh6rkX4sZVVgQtQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/fonts/slick.eot	D:/rovaid/websites/majid/https___sochillpanel.com_/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/fonts/slick.eot	(from https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick-theme.css)
00:32:19	2048/2048	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22800-Lf8HaPTApTIodh6rkX4sZVVgQtQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/fonts/slick.eot?	D:/rovaid/websites/majid/https___sochillpanel.com_/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/fonts/slickd41d.eot	(from https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick-theme.css)
